과제명,기관명,담당부서,전화번호,연구기간,연구분야,과제개요,수행기관,수행연구원,계약일자,계약방식,계약금액
"고용노동분야 ODA 사업평가 연구(스리랑카 개도국 노동시장수요기반 직업기술교육훈련 역량강화·개도국 기술격차 해소를 위한 기능경기 역량강화(필리핀,라오스,아제르바이잔))사업  중심으로",고용노동부,개발협력지원팀,044-202-7166,2023-09-05 ~ 2023-12-15,경제·통상 외교,"ODA시행기관의자체평가의무화에따른고용노동분야ODA사업평가연구(스리랑카개도국노동시장수요기반직업기술교육훈련역량강화·개도국기술격차해소를위한기능경기역량강화(필리핀,라오스,아제르바이잔))",(사)국제개발협력실행연구원,강정향,,경쟁 입찰 후 수의계약,"40,000,000원"
육아휴직급여 및 가족돌봄휴가 등 제도개선에 관한 연구,고용노동부,여성고용정책과,044-202-7475,2023-03-29 ~ 2023-12-20,고용정책,"□연구목적및추진배경○국정과제에특고,예술인에대한육아휴직급여적용및가족돌봄휴가·휴직에관한내용이포함됨에따라세부적용방안등에관한연구필요-육아휴직의경우수혜범위가넓어막대한재원이소요되는만큼육아휴직대상확대(예술인·특고)필요성,대상규모,적정급여수준및적용기간등육아휴직확대적용방안에대한연구가선행될필요□연구내용○육아휴직급여제도개선방안에관한검토-육아휴직급여대상확대(특고·예술인)적용방안검토(제도필요성,법·체계정합성,대상규모,적용요건등)-육아휴직관련주요국가사례및재원마련방안등○?남녀고용평등법?상가족돌봄휴가·휴직제도활성화방안등에관한검토-가족돌봄휴가·휴직사용활성화를위한제도개선사항검토및해외사례연구등",한국직업능력연구원,고혜원,,경쟁 입찰 후 수의계약,"60,000,000원"
근로자 모성보호제도 확대에 관한 연구,고용노동부,여성고용정책과,044-202-7475,2023-08-25 ~ 2024-01-27,고용정책,"□연구목적및추진배경○조손가족이상당수존재하고,최근맞벌이부부증가등으로조부모의손주돌봄이증가*하고있어가족돌봄휴직,육아휴직등일·가정양립지원제도대상확대요구발생-이에조부모일·가정양립지원제도에대한해외사례를살펴보고,우리나라상황에맞는조부모지원방향등에대하여연구할필요□연구내용○해외사례분석-OECD주요국가의조부모육아휴직제도,근로시간단축,가족돌봄휴가·휴직등일·가정양립지원제도현황및재원○우리나라의적용가능성,방향등검토-여성(엄마,조모)의돌봄집중문제,조부모가없는가구와의형평성,재원문제등을종합적으로고려하여,우리나라적용가능성등검토",한국직업능력연구원,고혜원,,일반경쟁입찰에 의한 계약,"30,000,000원"
청년의 원활한 노동시장 진입을 위한 혁신 방안 연구,고용노동부,청년고용기획과,044-202-7468,2023-03-02 ~ 2023-12-11,고용정책,"ㅇOECD「2022년한국경제보고서」는청년고용증대를위해직접일자리창출사업지출액을줄이고,훈련·직업상담등적극적노동시장정책지출액을확대할것을권고-이에청년의원활한노동시장진입을위한적극적노동시장정책(훈련,일경험,상담,법개정등)관련다각적개선방향을전문가등과함께검토ㅇ(청년고용동향분석)세부연령(15∼34세or5세단위),업종,직종,종사상지위등인적특성및고용특성을고려하여분석-고용동향특이점파악,정책시사점도출ㅇ(청년주요일자리사업운영현황및성과분석)고용장려금,훈련,일경험,고용서비스.,기업ESG지원,취약청년고용등청년고용정책및기타창업,세제지원정책등-청년고용정책종합평가및차기청년고용의제발굴등포함ㅇ(수시현안과제대응)청년고용상황변화에따른세부동향파악및정책대응방안모색을위한논의",한국노동연구원,길현종,,일반경쟁입찰에 의한 계약,"60,000,000원"
임금체계 개편 기반의 계속고용 법제화 연구,고용노동부,통합고용정책국 고령사회인력정책과,044-202-7464,2023-03-02 ~ 2023-12-15,고용정책,"ㅇ계속고용제도도입과관련한고용·노동법제(근로기준법,노동조합법,고령자고용법등)정비와관련된법률적쟁점검토*임금체계개편과연계,고령근로자의임금,직무등을조정할수있는법제도정비방안등-노동법전문가들의다양한의견을수렴할수있도록포럼형식으로운영",(사)한국고용노사관계학회,권혁,,일반경쟁입찰에 의한 계약,"60,000,000원"
교육청 장애인 교원현황 실태조사,고용노동부,장애인고용과,044-202-7486,2023-10-23 ~ 2023-12-20,장애인고용증진,"ㅇ17개시도교육청이신고한‘22년장애인고용상황신고내용을바탕으로장애인교원고용현황(유·초·중·고학교별,장애유형별,근속기간등)분석ㅇ장애인교원양성관련관계자(시도교육청관계자,장애인임용준비자,장애인교원등)와FGI를통해현제도의의문제점및개선방안도출등",가톨릭대학교 산학협력단,김라경,,일반경쟁입찰에 의한 계약,"46,000,000원"
국제노동기준 관련 협약과 우리나라 법제(헌법 및 일반법)간 비교 연구,고용노동부,기획조정실 국제렵혁담당관실,044-202-7134,2023-03-09 ~ 2023-11-30,국제기구,-국제노동기준관련협약과우리나라법제(헌법과일반법)간의비교연구,(사)국제노동법연구원,이승욱,,경쟁 입찰 후 수의계약,"90,000,000원"
ILO 미비준 협약 및 의정서 검토 및 중장기 비준 추진방안 연구,고용노동부,기획조정실 국제렵혁담당관실,044-202-7134,2023-03-16 ~ 2023-11-30,국제기구,국내법·제도의개정또는신규ILO협약비준에따라추가비준이가능해진협약및의정서등을발굴하여적극적인국제노동기준준수등에활용,동아대학교 산학협력단,김성재,,일반경쟁입찰에 의한 계약,"30,000,000원"
범부처 신기술 인력수급 분석 지원,고용노동부,노동시장수급대책과,044-202-7234,2023-04-28 ~ 2024-02-14,인적자원정책기반 강화,"○범부처신기술인력수급분석총괄도출및관계부처인력수급전망활용지원-관계부처가선정한주요신기술분야에대한향후5년(’24～’28년)분야별,수준별중장기인력수급전망도출-국내외의최신기술동향,선진국정책동향등수집,분석을통한정책적시사점도출-전망방식개선,민간분야인력양성사업조사체계화등인력수급전망고도화추진-채용공고빅데이터분석을통한인력수요단기변동포착·대응체계마련등-인력수급전망결과를반영한부처별인력양성정책운영방향(예산편성,제도개선등)분석,송부",한국직업능력연구원,정지운,,경쟁 입찰 후 수의계약,"1,000,000,000원"
인공지능 알고리즘을 활용한 재해개요 분류모델 시범 개발,고용노동부,산업안전보건본부 안전보건감독기획과,044-202-8911,2023-09-01 ~ 2023-11-30,산업재해예방,"용역명:인공지능알고리즘을활용한재해개요분류모델시범개발용역금액:40,000,000원용역기간:2023.9.1.~2023.11.30.주요내용-인공지능모델링의개요,절차,알고리즘의종류,학습방법론등문헌조사(자연어처리,분류classification알고리즘,학습방법론,관련선행연구등)-기존재해개요데이터(요양승인통계,재해조사보고서등)에대한품질진단(누락,중복,유형불일치,범위초과등)-적합한알고리즘선택(복수이상),모델링(모델설정,데이터학습,검증데이터에대한예측및정확도accuracy평가),모델간정확성비교등-분류모델의성능개선및활용성향상을위한방안제안",충북대학교 산학협력단,원정훈,,일반경쟁입찰에 의한 계약,"40,000,000원"
여성의 갱내 근로금지 제도개선에 관한 연구,고용노동부,고용정책실  통합고용정책국 여성고용정책과,044-202-7547,2023-03-22 ~ 2023-12-22,근로조건보호,"○여성의갱내근로금지규정(제72조)은근로기준법제정시(1953년)부터시행?유지(약70년)되고있는조항으로,-그간사회적.기술적변화에대한반영이없어해당제도에대한개선요구가꾸준히제기되고있음○이에실태조사(광산·건설업종)등을통해현행여성의갱내근로금지규정에대한규제방식·내용에대한적정성여부검토및해외입법례비교등을통한개선방안을마련할필요□연구내용○여성의갱내근로에대한현행포괄적금지방식에대해광산·건설업종(갱내)실태조사실시○실태조사및해외사례비교를통한근로기준법상규제방식·내용에대한제도개선방안마련",(사)한국고용노사관계학회,권혁,,경쟁 입찰 후 수의계약,"40,000,000원"
민간고용서비스 활성화 방안 연구,고용노동부,고용서비스정책과,044-202-7336,2023-04-17 ~ 2023-12-14,고용정책,제1장서론제2장민간고용서비스시장현황및관련산업추이분석제3장민간고용서비스시장의변화제4장해외의민간고용서비스시장제5장민간고용서비스활성화를위한개편의필요성과방향,한국기술교육대학교 산학협력단,성지미,,일반경쟁입찰에 의한 계약,"70,000,000원"
다층연금체계 하 퇴직연금 기능강화를 위한 세부 제도개선방안 연구,고용노동부,퇴직연금복지과,044-202-7595,2023-03-08 ~ 2023-11-07,근로자복지증진,"ㅇ퇴직연금은빠른양적성장에도불구하고최근제도확산정체,낮은연금수령비율등보편성을갖춰나가는단계이며소득수준등에따른편차도존재하여전반적인개편이필요-이에종합적인연금개혁이논의되는과정에서골든타임을놓치지않도록“퇴직연금기능강화방안”을마련할계획으로체계적연구와논의를통해구체적제도개선안마련이필요한사항들에대해연구용역필요",한국연금학회,김성일,,경쟁 입찰 후 수의계약,"45,000,000원"
퇴직연금 연금자산형성 지원을 위한 제도설계,고용노동부,퇴직연금복지과,044-202-7595,2023-04-28 ~ 2023-09-27,근로자복지증진,"ㅇ소득대체율제고를위해“보장성”을강화하고,장기간에걸친효과적인노후소득보장을위해“연금성”을강화하는제도적개편방안마련",한국재정학회,전병욱,,경쟁 입찰 후 수의계약,"49,500,000원"
두루누리 사회보험료 지원사업 효과분석 및 제도개선,고용노동부,고용지원실업급여과,044-202-7356,2023-06-07 ~ 2023-12-10,고용보험,"□(제도현황)?전국민고용보험로드맵?발표이후를중심으로두루누리사회보험료지원사업의변화내용을검토하고,해당기간제도운영실적을파악□(효과성분석)두루누리사업의지원대상및지원요건변화가고용보험가입률변화에미친영향을정량적으로분석□(현행제도분석)지원대상,요건,기간,범위,규모등의측면에서제도설계·운영의적절성을평가□(제도개선방향및방안제시)분석결과들을바탕으로향후운영성과제고를위한개선방안제시",한국조세재정연구원,최인혁,,경쟁 입찰 후 수의계약,"50,000,000원"
공무원 및 교원  노사관계 법치주의 확립 방안,고용노동부,공공노사관계과,044-202-7653,2023-10-30 ~ 2024-02-29,노동행정지원,"공무원교원노사관계의현황,문제점및쟁점,애로사항등을종합적으로검토하여공무원교원노사관계법치주의확립방안모색",사단법인 한국노동법학회,김희성,,경쟁 입찰 후 수의계약,"60,000,000원"
공무원 교원 근무시간 면제제도 안착을 위한 쟁점과 합리적 운영방안,고용노동부,노동정책실 공공노사정책관실 공공기관노사관계과,044-202-7658,2023-10-30 ~ 2024-02-29,노사정책,공무원?교원노조에대한근무시간면제제도도입에따라공무원?교원노조법개정추진을통해제도시행예정(‘23.12.11.)-법시행에맞춰민간부문과다른공무원·교원의특수성을고려한근무시간면제제도의합리적운영방향등에대한선행연구,사단법인 한국노동법학회,신동윤,,경쟁 입찰 후 수의계약,"40,000,000원"
유연근무  활용 우수사례,고용노동부,고용문화개선정책과,044-202-7504,2023-09-19 ~ 2023-12-15,고용정책,"ㅇ유연근무활용기업의현장우수사례를발굴하여아래목차중심으로정리-해당사업장에서유연근무를도입하게된계기-누가주도적으로추진했는지-도입,시행하고있는유연근무의구체적인내용-도입과정에서발생한어려움과극복과정-유연근무시행과관련한조치사항-유연근무도입시행경과-그간의효과및앞으로예상되는효과",한국노동사회연구소,이주환,,경쟁 입찰 후 수의계약,"30,000,000원"
재학생 맞춤형 고용서비스 사업 성과지표 개발 연구,고용노동부,청년고용기획과,044-202-7657,2023-03-31 ~ 2023-12-15,고용정책,○개별대학평가지표개발을통한효과적인성과관리방안도출-성과평가지표설계및평가방안도출-대학유형별성과관리방안제시○사업의성과·결과지표개발을통한정책발전방안도출-서비스고도화및청년만족도제고방안제시-사업의중장기성과관리방안제안○청년접근성제고를위한효과적인사업확대·개편방안도출-기존특성화고대상취업지원정책분석-효과적인사업확대·개편방안도출및기대효과분석,한국기술교육대학교,이문수,,일반경쟁입찰에 의한 계약,"60,000,000원"
대학일자리플러스센터 사업 효과성 분석,고용노동부,청년고용기획과,044-202-7657,2023-03-31 ~ 2023-12-15,고용정책,○대학일자리플러스센터사업운영대학과미운영대학의비교를통한효과성분석과이를기반으로한성과제고방안도출-사업자체의성과및결과지표를개념화하여비교·분석의도구마련-대학그룹(운영/미운영대학)간의결과지표비교를통한사업효과성분석○대학의참여유인체계분석및미참여대학원인분석을통한사업활성화방안마련-정책참여대학과미참여대학의특성유형화-대학내다양한국고지원사업간의관계성분석을통한향후정책추진방향제언○사업운영인력등의효과적인관리및참여동기부여방안마련,(사)한국정책학회,심준섭,,일반경쟁입찰에 의한 계약,"45,454,540원"
MSDS 제출제도 개선방안 마련 연구,고용노동부,화학사고예방과,044-202-8971,2023-08-28 ~ 2023-12-27,안전정책,산업계의이행가능성과근로자의알권리보장을고려한미분류물질제출제도개선방안마련을위한기초자료조사,유한회사 람볼코리아,강성은,,경쟁 입찰 후 수의계약,"30,000,000원"
ADR  전문가에 대한 민간수요 및 ADR전문가 양성시의 기대효과 연구,고용노동부,조정과,044-202-8308,2023-05-24 ~ 2023-06-30,노사정책,,(사)한국노동경제학회,김기승,,수의 계약,"5,000,000원"
노동쟁의 조정시스템 개선 방안에 관한 연구 포럼,고용노동부,조정과,044-202-8308,2023-02-21 ~ 2023-09-30,노사정책,"?교육인프라(ADR전문가양성)구축-(표준교재개발)우리나라에적합한교육수준별ㆍ단계별(레벨Ⅰ~Ⅳ)맞춤형표준교재개발-(이수제도운영방안)수준별ㆍ단계별교육과정이수제도운영방안-(우수강사진확보)현장경험과이론을두루겸비한우수한전문강사진확보방안제시?ADR전문가활용방법-(ADR전문가확인시스템)노동위원회가인증한ADR전문가를민간ㆍ공공영역에서활용하는방안(공시시스템등)모색-(업무영역창출방안)교육을통해배출된ADR전문가업무영역창출방안모색?법ㆍ제도(ADR전문가양성및활용관련)정비-(법ㆍ제도정비)ADR전문가양성(교육및능력인정)및활용과관련된법령(노동조합법,노동위원회법,고평법등)상문제점및법ㆍ제도개선방안강구",사단법인 한국고용노사관계학회,이정,,경쟁 입찰 후 수의계약,"40,000,000원"
실업급여 수급자의 심리안정성 측정을 위한 심리검사 도구개발 및 활용방안,고용노동부,고용정책실 고용서비스정책관실  고용서비스정책과,044-202-7339,2023-08-07 ~ 2023-12-22,고용정책,실업급여수급자의심리안정성측정을위한심리검사도구개발및활용방안,숙명여자대학교 산학협력단,최서윤,,수의 계약,"49,920,000원"
고용복지+센터 운영 내실화를 위한 참여기관 협업 강화 방안 마련,고용노동부,고용정책실 고용서비스정책관실  고용서비스정책과,044-202-7339,2023-04-05 ~ 2023-09-04,고용정책,고용복지+센터운영내실화를위한참여기관협업강화방안마련,(사) 한국행정학회,황민철,,일반경쟁입찰에 의한 계약,"44,917,000원"
고용허가제 송출국 대상 직업기술교육훈련 ODA 연계 강화를 위한 사전연구,고용노동부,개발협력지원팀,044-202-7166,2023-03-14 ~ 2023-07-31,경제·통상 외교,핵심송출국의TVET역량과개발협력수요를파악하여고용허가제연계사업개발을위한사전연구수행,한국기술교육대학교 산학협력단,김우철,,일반경쟁입찰에 의한 계약,"40,000,000원"
중대재해 발생 시 산안법에 따른 사업장 규율특성 등 연구,고용노동부,중대산업재해감독과,044-202-8954,2023-02-06 ~ 2023-07-31,산업재해예방,"□연구목적○‘22년11월「중대재해감축로드맵」을통해중대재해예방실효성강화,안전투자촉진을위한중대재해처벌법령개선과제제시-판례등분석을통해처벌대상(주체),처벌내용(법위반사항)등중대재해발생시현행사업장에대한규율체계의특성연구하여,처벌요건명확화및중대재해처벌법상규율체계개선을위한시사점도출□연구내용○중대재해발생시기업규모별처벌대상·내용·수준등판례분석○기업규모별규율체계및그집행현황에대한분석을토대로중대재해예방실효성강화를위한정책적시사점도출",사단법인 한국노동법학회,김기선,,경쟁 입찰 후 수의계약,"30,000,000원"
산재보험에서 노사 책임성 강화 방안 연구,고용노동부,산재보상정책과,044-202-8842,2023-07-06 ~ 2024-02-29,산재보험,"○중대재해발생시보험료할증에따른중대재해감축효과,미가입사업장의보험급여징수상한액확대등중대재해감축을위한산재보험료율결정체계구축방안마련○근로자의고의.자해행위,범죄행위등업무상재해불인정사례와해외의제도및사례연구○「산업재해보상보험법」,「고용보험및산업재해보상보험의보험료징수등에관한법률」의노사책임성강화를위한개정방향마련",광운대학교 산학협력단,이준희,,경쟁 입찰 후 수의계약,"40,000,000원"
2023년 지역 노사민정 협력 추진실적 평가 및 지역 주체 역량 강화 교육 개발을 통한 개선방안 도출 연구,고용노동부,공무원노사관계과,044-202-7979,2023-06-26 ~ 2023-12-15,노사정책,-2022년지역노사민정협력활성화지원사업추진실적평가-지역노사민정협의회발전성공사례분석-지역노사민정협의회역량강화교육프로그램개발및운영방안제시,노사발전재단,채준호,,수의 계약,"20,000,000원"
외국인 여성노동자 현황 및 개선방안,고용노동부,기획조정실 정책기획관 양성평등정책담당관실,044-202-7867,2023-05-12 ~ 2023-12-15,고용평등실현,"○외국인여성노동자에대한고용노동분야에서의현황을파악하고,-여성외국인이고용되는분야,지역별·직종별성별고용현황,성별로다수고용중인직종/분야(예:건설-남성,농업-여성)에대한처우의현황등을비교·분석○일반적으로,인권문제가검토되는결혼이주여성외에도고용노동분야의다양한사례(예.외국인유학생의근로등신고되지않는사례포함)를분석하며,-특히,사망사고및성희롱·성폭력사건발생시,외국인여성노동자에대한보호·지원필요성등의정책과제를도출",한국젠더법학회,박귀천,,일반경쟁입찰에 의한 계약,"30,000,000원"
성평등 우수기업 자가진단 도구 개발 및 우수사례 발굴,고용노동부,기획조정실 정책기획관 양성평등정책담당관실,044-202-7867,2023-05-10 ~ 2023-10-13,고용평등실현,"○우수기업평가지표분석을통한성평등기업자가진단도구개발-현재남녀고용평등·일가정양립·여가친화·가족친화기업등의우수기업평가지표분석을통해,남녀고용평등우수기업평가지표의개선사항을도출-고용노동부의남녀고용평등대상기준을표준지표화하여기업들이자신의기업구성원의차별여부를자가진단할수있도록성평등기업자가진단도구(안)개발하고보급○남녀고용평등우수사례발굴-’21-’23(3개년)의후보군을분석함으로써고용평등사례를유형화-고용노동부남녀고용평등우수기업사례를발굴하여이를확산",한국여성정책연구원,강민정,,일반경쟁입찰에 의한 계약,"15,000,000원"
고용노동분야 법령의 양성평등한 발전을 위한 중장기방안,고용노동부,기획조정실 정책기획관 양성평등정책담당관실,044-202-7867,2023-05-10 ~ 2023-12-08,고용평등실현,"○헌법상의고용평등에대한맥락에서고용노동분야의법령을분석,-고용노동부법령의개정시확인해야할사항을구체화·목록화하며,-고용노동부법령의제정시반드시유의하여진행해야할사항(예:변화된근로자像에따라법령에서규정해야할기준,일·생활균형의목적을반영한법령의개선방향)등을제시○고용노동부법령에대한전반적인검토를통해,-개별법의목적에따라추후개정시개선이필요한사항에대해제시하며,-해외사례및국내선도사례와의비교,고용노동분야주요법령분석등을통해향후고용노동부의법령을성평등하게구성하기위한방향을제시",한국여성정책연구원,구미영,,경쟁 입찰 후 수의계약,"35,000,000원"
중대재해처벌법 적용범위 확대 관련  실태조사,고용노동부,중대산업재해감독과,044-202-8954,2023-02-06 ~ 2023-07-03,산업재해예방,ㅇ(필요성및배경)중대법확대적용에따라법적용대상에포함될기업들의안전·보건관리실태이해ㅇ(내용)50인미만중대법준비등실태조사-중대재해처벌법적용대상기업의규모별인력·조직·예산등안전보건관리체계구축수준실태조사-중대재해처벌법이행을위한산안법등기존안전보건관계법령에의한제도적기반및행정적지원현황파악-실태조사를통한현장의견수렴및정책적시사점도출ㅇ(활용방안)50인미만중대법확대시행대비정책기초자료로활용,(사)한국안전학회,서용윤,,일반경쟁입찰에 의한 계약,"40,000,000원"
직종별사업체노동력조사 표본설계 및 추정방법 연구(2023),고용노동부,고용정책실 고용지원정책관 노동시장조사과,044-202-7252,2023-03-20 ~ 2023-09-19,통계행정지원,"□연구목적○직종별사업체노동력조사의표본을최신모집단산업구조변화를반영한표본으로교체하여조사결과의신뢰성제고및조사활용도를높이기위한방안검토□연구내용○표본추출시최신산업구조를반영하기위한모집단분석-최신의지역,산업,규모별모집단특성분석○새로운모집단구조를반영한표본개편-조사결과에대한대표성,신뢰성을확보할수있는적정규모표본설계-표본교체로발생할수있는불안정성최소화,최소(대)표본결정,산업?규모별상대표준오차최소화방안연구○조사결과의시계열안정성유지를위한추정방법연구-그간의조사결과분석을통해현행추정법검토및개선방안모색○조사활용도를높이기위한방안검토-적정한공표수준등에대한연구○이상치검출및처리방안-자료이상치검출의기준을마련하고처리방법제시○표본관리방안검토(휴?폐업처리및대체방안등)",(사)한국조사연구학회,이기재,,경쟁 입찰 후 수의계약,"30,000,000원"
중앙노동위원회 소송사건  패소원인 분석 및 시사점 도출,고용노동부,법무지원과,044-202-8274,2023-06-12 ~ 2023-12-31,통계행정지원,"(1)최근3개년(2020~2022)간중노위행정소송기록일체분석(사건유형별,쟁점별현황분석)(2)패소원인분석,판례의경향성및시사점도출(3)패소가잦은주요사건유형및쟁점을선정하여해당사건판정시반드시숙지해야할법리와판례,필수적으로조사·심문하여야할사항,확인하여야하는입증자료등을정리(4)연구결과를바탕으로노동위원회공익위원및조사관대상발표회실시",광운대학교 산학협력단,이준희,,수의 계약,"15,000,000원"
고용형태별근로실태조사 표본설계 및 추정방법 연구(2023),고용노동부,고용정책실 노동시장정책관 노동시장조사과,044-202-7239,2023-04-07 ~ 2023-10-06,고용정책,ㅇ현행고용형태별근로실태조사의표본은’18.12월말기준모집단에서추출된표본으로동표본이노후화됨에따라최근의변화된산업구조반영이어려움-이에최신모집단(’21.12월말)의산업구조변화를반영한표본으로교체하여표본의대표성및조사결과의신뢰성을제고하고자함ㅇ조사결과의시계열안정성유지를위한추정방법연구필요,사단법인 한국조사연구학회,박민규,,경쟁 입찰 후 수의계약,"30,000,000원"
집단적 노동분쟁에의  ADR  도입 관련 연구,고용노동부,교섭대표결정과,044-202-8368,2023-06-01 ~ 2023-11-30,노사정책,"ㅇ하기주요쟁점에대하여전문가포럼방식을통하여중점적으로연구할예정-(공정?부노관련ADR해외사례검토)미국NLRB와일본노동위원회등해외의집단분쟁사건에의ADR활용사례를검토하여,집단분쟁에의ADR도입의효과를예측-(공정?부노관련ADR국내도입방안마련)해외사례검토결과를바탕으로①판정이전단계에서,기존화해제도의활성화방안마련및조정/중재등추가적인대안적분쟁해결제도의도입시기존제도와의정합성등에대한검토와②판정을통한사건종결시,구제?시정명령의자율적이행을도모할수있는효율적방안을모색병행",(사)한국고용노사관계학회,이정,,수의 계약,"15,000,000원"
여성고용 관련 통계자료 현황에  대한 분석연구,고용노동부,여성고용정책과,044-202-7474,2023-03-09 ~ 2023-12-24,고용평등실현,여성고용관련지표중일부는(성별임금격차등)산출기준이기관별?국가별로상이*하여통계자료의신뢰성및적정성에대한문제제기가지속됨에따라여성고용관련국내외지표에대한현황파악및분석를통해산출기준을개선할필요ㅇ여성고용관련국내통계와국제통계(OECD등)의산출기준에대해현황및내용등을분석ㅇ향후통계자료작성시동일한산출기준을적용하여해당통계자료의신뢰성및적정성을제고할수있는방안도출,한국노동연구원,최세림,,일반경쟁입찰에 의한 계약,"30,000,000원"
